Nom,end_date,start_date,latitude,longitude,Nom de référence,Note
Reuilly,1931-05-05,1900-08-20,48.847265,2.386702,Reuilly - Diderot,
Reuilly - Diderot,,1931-05-05,48.847265,2.386702,Reuilly - Diderot,Renommé
Richard-Lenoir,,1906-12-17,48.859772,2.371843,Richard-Lenoir,
Richelieu - Drouot,,1928-06-30,48.87198735,2.338741422,Richelieu - Drouot,
Riquet,,1910-11-05,48.88788032,2.373577952,Riquet,
Robespierre,,1937-10-14,48.855683,2.423678,Robespierre,
Rome,,1902-11-06,48.882425,2.322052,Rome,
Rue de la Pompe,,1922-11-08,48.86391193,2.279051542,Rue de la Pompe,
Rue des Boulets - Rue de Montreuil,1998-09-01,1933-12-10,48.85181135,2.390151322,Rue des Boulets,
Rue des Boulets,,1998-09-01,48.85181135,2.390151322,Rue des Boulets,Renommé
Rue du Bac,,1910-11-05,48.85569049,2.325606644,Rue du Bac,
Saint-Maur,1998-09-01,1904-10-19,48.864335,2.379448,Rue Saint-Maur,
Rue Saint-Maur,,1998-09-01,48.864335,2.379448,Rue Saint-Maur,Renommé
Saint-Ambroise,,1933-12-10,48.86129512,2.374210954,Saint-Ambroise,
Saint-Augustin,,1923-05-27,48.8744413,2.322133183,Saint-Augustin,
Saint-Denis - Porte de Paris,,1976-06-20,48.93021104,2.357769012,Saint-Denis - Porte de Paris,
Saint-Denis - Université,,1998-05-25,48.945799,2.363674,Saint-Denis - Université,
Saint-Fargeau,,1921-11-27,48.87208261,2.404519916,Saint-Fargeau,
Saint-François-Xavier,,1923-12-30,48.85195078,2.314475477,Saint-François-Xavier,
Saint-Georges,,1911-04-08,48.87844922,2.337381542,Saint-Georges,
Saint-Germain-des-Prés,,1910-01-09,48.8537739,2.333280444,Saint-Germain-des-Prés,
Saint-Jacques,,1906-04-24,48.83291258,2.337081134,Saint-Jacques,
Saint-Lazare,,1904-10-19,48.87557787,2.326185659,Saint-Lazare,
Tourelle,1937-04-26,1934-03-24,48.84629776,2.418673101,Saint-Mandé,
Saint-Mandé - Tourelle,,2002-07-16,48.84629776,2.418673101,Saint-Mandé,Renommé
Saint-Mandé,2002-07-16,1937-04-26,48.84629776,2.418673101,Saint-Mandé,Renommé
Saint-Marcel,,1906-06-02,48.83798838,2.360416353,Saint-Marcel,
Saint-Martin,1939-09-03,1931-05-05,48.86844,2.358661,Saint-Martin,Fermée au début de la guerre
Saint-Michel,,1910-07-09,48.85365036,2.343928814,Saint-Michel,
Saint-Paul,,1900-08-06,48.8551436,2.360653354,Saint-Paul,
Saint-Philippe du Roule,,1923-05-27,48.87194148,2.310036421,Saint-Philippe du Roule,
