OBJECTID,N_SQ_PE,L_EAU,C_DEP,C_NIVEAU,B_VISI,N_SQ_DE,SHAPE_Length,SHAPE_Area
50,750000005,Etang de Boulogne,75,0,O,1,765.627973913283,12859.3386847175
51,750000006,Etang de Longchamp,75,0,O,1,760.62618633288,9430.91776737769
52,750000011,Mare d'Armenonville,75,0,O,1,284.616095264177,2641.291801148
53,940000009,Port Autonome de Paris,94,0,O,4,7140.5570293939,213016.885824485
54,940000012,Usine des Eaux,94,0,O,4,417.574222997288,4238.70421824126
55,950000001,,95,0,O,8,22128.6271156382,682753.79454763
56,950000002,Base de Loisir,95,0,O,8,10901.4612944953,1008990.61627563
57,920000021,Seine,92,0,O,2,378.933713888054,42.4026860301511
58,750000001,Bassin de l'Arsenal,75,0,N,1,91.323724636025,132.399109396815
59,750000002,Bassin de la Villette,75,0,N,1,214.015435416567,327.647429558079
60,750000004,Darse du Fond de Rouvray,75,0,O,1,562.419619386229,3442.47948140959
61,750000318,,75,0,O,1,11.7506930922302,10.9609529442694
62,750000319,,75,0,O,1,178.524175956277,2370.71676359036
63,750000013,Canal Saint-Denis,75,0,N,1,588.638185692426,3771.65824314415
64,750000666,Lac des Minimes,75,0,O,1,3298.77227675022,59704.1919523349
65,750000363,,75,0,O,1,481.530892190037,3201.64787882658
66,750000668,,75,0,O,1,117.915525313268,151.331341311439
67,750000079,Canal Saint-Martin,75,0,N,1,4645.36240844935,59988.2476210756
68,750000163,Bassin de l'Arsenal,75,0,O,1,1345.38338703906,27001.1315293436
69,750000364,,75,0,O,1,21.3764082150334,36.2922750385535
70,750000365,,75,0,O,1,42.7662364906709,97.8674632572322
71,750000090,Canal Saint-Martin,75,0,O,1,3572.47066596971,35981.5945595538
72,750000165,Lac Pour le Patinage,75,0,O,1,921.364865252897,13986.9255351877
73,750000246,,75,0,O,1,69.3334589399793,382.524271368827
74,750000249,,75,0,O,1,9.80378826288407,6.29179972558477
75,750000366,,75,0,O,1,77.0402664595857,471.844454106565
76,750000413,,75,0,O,1,90.3305583518782,488.221778314954
77,750000173,Lac Superieur,75,0,O,1,1042.66585643092,28031.4398217985
78,750000176,Mare Saint-James,75,0,O,1,1123.49035880398,18458.3638441886
79,750000232,Plan d'Eau de l'Hippodrome de Vincennes,75,0,O,1,261.430770569439,3437.37792360172
80,750000307,,75,0,O,1,170.945127415318,456.497317560858
81,750000177,Canal Saint-Denis,75,0,O,1,3828.52175555664,43577.9013518941
82,750000185,Etang des Tribunes,75,0,O,1,886.126005760564,11884.2008131385
83,750000310,,75,0,O,1,7.46164280576434,4.20001693090445
84,750000312,,75,0,O,1,29.6557375665415,43.5488467111287
85,750000313,,75,0,O,1,13.3662809144299,13.4422302485693
86,750000215,Lac Inferieur,75,0,O,1,4233.50611026653,102826.305704268
87,750000216,,75,0,O,1,167.079479470433,1775.02145890941
88,750000217,,75,0,O,1,60.3935737889788,140.021735907596
89,750000218,,75,0,O,1,50.1920034243281,125.873901048239
90,750000219,,75,0,O,1,34.6788447065807,95.5590322562812
91,750000230,,75,0,O,1,603.717581767647,9190.04367979899
92,750000314,,75,0,O,1,40.6215740109622,96.7982066606526
93,750000315,,75,0,O,1,9.13140246528719,6.6171775515906
94,750000316,,75,0,O,1,36.5657352239558,101.171622368845
95,750000250,,75,0,O,1,267.273485785177,2044.75579757279
96,750000251,,75,0,O,1,19.1098701536883,29.0208264814487
97,750000253,,75,0,O,1,190.676774961533,2123.75707235188
98,750000257,,75,0,O,1,20.0349683813492,23.2481978500126
99,750000262,,75,0,O,1,48.888061478312,106.042182431057
100,750000264,,75,0,O,1,52.1433767641296,173.619811403028
101,750000265,,75,0,O,1,153.301302074792,1870.12563601809
